Name,Specialty,Contact,Department
Dr. Daniel Grant,General Medicine,1490012673,Cardiology
Mr. Perry Rodriguez,General Medicine,6039074361,Neurology
Jasmine Evans,Radiology,6376806299,Cardiology
Karen Archer,General Medicine,0583535963,Cardiology
Elizabeth Stephens,Cardiology,8839873483,Neurology
Rodney Brown,Cardiology,9141416121,Neurology
Amanda Mills,Neurology,4229218852,Surgery
Jessica Thompson,Radiology,9054278449,Neurology
Laura Perry,Cardiology,3422817448,General
Todd Cohen,Radiology,6613458119,Neurology
Mary Martin,Cardiology,2575796567,Neurology
Robert Lopez III,Neurology,9693685907,Surgery
Amber Skinner,General Medicine,2494408694,Surgery
Erin Torres,Radiology,8949209937,Neurology
Jeanne Austin,Neurology,8434799553,Cardiology
Kevin Webb,Neurology,4314893215,Cardiology
Beth Roberson,Radiology,7238968253,Neurology
Joshua Sanchez,Radiology,1033355728,Neurology
Dr. Robert Morris,Cardiology,6652429431,Cardiology
William Liu,Neurology,0705001000,Neurology
Richard Harding,Cardiology,7485938689,General
Anthony Johnson,Radiology,9939986155,Surgery
Nicholas Ingram,Neurology,2872492405,General
Sarah Nolan,General Medicine,1842647171,Neurology
Christopher Bender,General Medicine,6792048701,Neurology
Karen Malone,General Medicine,9400555461,Cardiology
Bob Jordan,Radiology,7388005477,General
David Ward,Cardiology,9783482398,Cardiology
Jillian Willis,Cardiology,6889875439,Neurology
Ivan Crawford,General Medicine,6195019837,Surgery
Dave Davis,General Medicine,5731136463,Surgery
Rodney Grant,Cardiology,8739248148,Neurology
Steven Morales,Neurology,0519614687,Neurology
Dr. Timothy Clark DDS,General Medicine,2382396684,Cardiology
Chelsea Moore,General Medicine,1269121118,General
Lawrence Brady,General Medicine,0194527832,Cardiology
Gregory Smith,Radiology,3156979618,Cardiology
Caroline White,General Medicine,0441789363,Cardiology
Calvin Sims,Radiology,0510240062,General
Robert Robinson,Radiology,4834444070,General
Johnny Stevenson,Neurology,5441157470,General
Roberta Lee,Radiology,6898762573,Surgery
Charles Gill,Cardiology,4372184745,Cardiology
Barbara Gibson,Radiology,2776401761,General
Robert Ramirez,Neurology,2819602568,Surgery
Christopher Marshall,General Medicine,6929004885,Surgery
Stephanie Scott,General Medicine,2587631795,Neurology
Vernon Rodriguez,Radiology,5389985982,Neurology
Dr. Jennifer Young,Neurology,7734565837,Cardiology
Christina Jones,Cardiology,5106637405,Neurology
Katie Smith,General Medicine,4055074035,Neurology
David Collins,Neurology,9258955041,Neurology
Lindsay Campbell,Cardiology,6919781167,Surgery
Joseph Barajas,General Medicine,5038449680,Neurology
Rachel Garcia,Cardiology,2112722464,Cardiology
Mrs. Alicia Hardy,Neurology,2447152415,Neurology
Jason Cortez,Radiology,2734599905,General
April Larson,General Medicine,8590716427,General
Tamara Long,Radiology,9471275633,Neurology
Darren Shaw,Radiology,9103311654,Neurology
Laura Shaw,General Medicine,3054654182,Surgery
Timothy Sutton,Cardiology,7783296722,Neurology
Autumn Robinson,General Medicine,3889655760,Cardiology
Karen Turner,Radiology,4363283292,Surgery
Jill Gonzalez,General Medicine,0513732173,Neurology
Bruce Walter,Cardiology,1837901406,Surgery
Kristina West,Cardiology,5833641600,Surgery
Austin Riley,Cardiology,9315807873,Cardiology
Deborah Cooke,Cardiology,4481388016,General
Elizabeth Williamson,Radiology,5813886107,Cardiology
Dale Bowen,General Medicine,9224370642,Cardiology
William Smith,Radiology,4314203131,General
Matthew York,Cardiology,9616859547,Neurology
Brian Shea,Radiology,7402067365,Cardiology
Daniel Russell,Cardiology,1455899250,General
Todd Smith,General Medicine,0437966926,General
Michael Stafford,Cardiology,4664160402,Surgery
Raymond Johnson,General Medicine,4872935927,Cardiology
Corey Mcdonald,Cardiology,5380225412,General
Gerald Little,General Medicine,4925156563,Cardiology
Jeremiah Ochoa,Radiology,1566156860,Neurology
Shelly Bailey,Radiology,7932161819,Surgery
Brian Casey,Neurology,9863188188,General
Kevin Gonzalez,Neurology,5827672111,Cardiology
Oscar Douglas PhD,Cardiology,0006080424,Cardiology
Amy Patterson,Radiology,3456327446,Surgery
Robert Ortiz,Cardiology,3598323017,Cardiology
Edwin Jones,Radiology,6668538897,Neurology
Jake Simpson,Radiology,8936933221,General
Barbara Rice,Neurology,1136092877,Neurology
Margaret Washington,Neurology,8481852901,General
James Porter,Neurology,0819600396,General
Samantha Dean,General Medicine,7507236503,Neurology
Brandi Meyer,Neurology,8100200741,Surgery
Laurie Griffin,Radiology,1388121995,Neurology
Regina Vance,Radiology,6894424175,General
Taylor Howell,Neurology,8392686818,General
Anne Hill,Neurology,2634394260,Cardiology
Ashley Jackson,Radiology,7783924383,General
Joseph Preston,Radiology,1286687018,Surgery
Brenda Kelly,General Medicine,0213615303,Surgery
Daniel Smith,Radiology,8033985109,Neurology
Tiffany Perry,General Medicine,1838656615,General
Brian Moss,Radiology,6003806749,General
Shawna Miller,Neurology,8800557390,Surgery
Ryan Wise,General Medicine,1695388102,Cardiology
Tammy Pittman,General Medicine,4749167096,General
Natalie Baxter,General Medicine,4568009520,General
James Davis,Radiology,5283759779,Surgery
Matthew Zuniga,Radiology,8333066375,Cardiology
Matthew Duncan,Radiology,5908950513,Neurology
Edward Briggs,Cardiology,7109149778,Cardiology
Nicolas Walker,Radiology,3683215540,Cardiology
Matthew Brennan,General Medicine,3653290976,Cardiology
Kelsey Wells,Cardiology,5878475990,General
Michael Jenkins,Neurology,9173534622,Neurology
John Gonzalez,General Medicine,0829626592,Neurology
Adam Hale II,Radiology,8616799588,General
Kristen Foster,Neurology,5817880639,Neurology
Nathaniel Morris,General Medicine,8655211481,Surgery
Marc Brown,General Medicine,8978533792,Cardiology
Christopher Townsend,Neurology,7774976886,Surgery
Mrs. Mary Wood MD,Cardiology,3236628342,General
Diane Young,General Medicine,7391437001,Cardiology
Timothy Krueger,Radiology,6006474758,Cardiology
Gregory Collins,Cardiology,5676074121,General
John Armstrong,Neurology,3177134471,Cardiology
Christopher Padilla,Cardiology,8984760922,General
Ricardo Martinez,Radiology,6378174147,Neurology
Charles Morrison,Radiology,7794345485,General
Zachary Meyer,Cardiology,5100381078,General
Robert Jones,General Medicine,3132906060,Surgery
Beth Gomez,General Medicine,8667642102,Surgery
Michael Steele,Cardiology,1138280158,Cardiology
Russell Ferguson,Cardiology,9131398836,General
Lisa Molina,Cardiology,5418180845,Surgery
Barbara Hale,Radiology,6759049326,Surgery
Daniel Noble,Neurology,4996768265,Neurology
Jonathan Cox,Radiology,9511334362,Neurology
Jerry Anderson,General Medicine,9561099038,Cardiology
Andrea Rodriguez,Cardiology,6934861928,Surgery
Christian Ford,Cardiology,4236267830,Surgery
Kimberly Terrell,Radiology,7169994855,Surgery
Rebecca Harrison,Neurology,9446673041,General
Justin Hooper,Radiology,8411742627,Neurology
David Clark,General Medicine,3201830989,General
John Curry,Neurology,7658097220,Surgery
Amanda Lewis,Neurology,9996445680,Neurology
Regina Rubio,General Medicine,6924486728,Surgery
Patricia Price,Cardiology,1796718286,Cardiology
Christopher Lam,Neurology,0007108769,Cardiology
Ashley Gonzales,General Medicine,2775039018,General
Joanne Lee,Cardiology,5869805802,Surgery
Todd Heath,Cardiology,0055107166,Neurology
Edwin Garner,Cardiology,1757073101,General
Benjamin Hoffman,Neurology,0426946975,Surgery
Kevin Smith,Radiology,4142318702,Neurology
Emily Turner,General Medicine,3179814637,Surgery
Sarah May,Cardiology,7475107597,General
Lisa Lopez,Radiology,0108301319,Cardiology
Michael Allen,Cardiology,4170079737,Neurology
Michael Stanley,General Medicine,7193029102,General
Patrick Hoffman,Neurology,6882903175,Surgery
Elizabeth Davidson,Cardiology,4538185353,Neurology
Anthony Lawson,General Medicine,2403298850,Neurology
Paul May,Cardiology,5940689181,Surgery
Deborah Smith,Cardiology,3421829453,Neurology
Joe Collins,General Medicine,0965831134,Surgery
William Rogers,General Medicine,6807739269,General
Valerie Hernandez,Cardiology,6529802228,Surgery
Brian Pacheco,General Medicine,2379159686,General
Shannon Moore,Cardiology,6674234015,Cardiology
Tammy Lawrence,Radiology,6810067844,General
Yvette Tucker,Neurology,8447606469,General
Dr. Brandon Johnson,Neurology,5704287432,Cardiology
Samantha Martin,General Medicine,6577303728,General
Emily Martin,Radiology,6041826166,Neurology
Amy Blair,Radiology,0138309101,Neurology
Ashley Ward,Cardiology,1160823792,Surgery
Harold Macdonald,Neurology,4109260206,Cardiology
Kimberly Anderson,Neurology,1403411987,Surgery
Corey White,Radiology,8600167345,General
Melinda Evans,Radiology,6720804451,Cardiology
Theresa Johnson,General Medicine,9628748738,Cardiology
James Thomas,Radiology,2525270915,Neurology
Terri Fuller,Cardiology,4489238029,Surgery
Tammy Flores,Cardiology,8469009886,Neurology
Chelsea Hodges,Cardiology,0463358247,Surgery
Mia Adams,Cardiology,1653311108,Cardiology
Eddie Taylor,Radiology,4671964965,Surgery
Kenneth Finley,General Medicine,2164317655,Surgery
John Wright,Neurology,8165135922,Surgery
Christopher Kelly,Radiology,1879333944,Neurology
Carolyn Hart,General Medicine,1184986756,Cardiology
Michael Guzman,General Medicine,2674172119,Neurology
James Rice,Neurology,3119015611,Cardiology
Leslie Richardson,Cardiology,9261700664,Surgery
Dennis Lynn DDS,General Medicine,4430629037,Surgery
John Butler,Cardiology,6337155276,Neurology
Gregory Davis,Radiology,3812610394,Surgery
Alan Foster,Radiology,2308228412,Neurology
Jacqueline Young,Cardiology,7826124250,Cardiology
Adam Hunter,Neurology,0194908330,Neurology
Lisa Nelson,Cardiology,9726963151,Surgery
Jackson Moore,General Medicine,5752167777,Surgery
Mrs. Anita Bailey,General Medicine,5350690675,General
Sarah Ellison,Radiology,7286049095,Neurology
Clayton Sims,Radiology,2262755748,General
Mary Dillon,Cardiology,0483754883,Neurology
Kathryn Cortez,General Medicine,1034662382,Neurology
Sarah Herrera,Radiology,4898028795,Cardiology
Dustin Bryant,Radiology,6531366720,General
Reginald Rogers,General Medicine,3550230934,Cardiology
Zachary Turner,Radiology,9361879476,Surgery
Richard Rodriguez,Radiology,4175330988,Surgery
Tammy Roth,Neurology,9905231757,Surgery
Jason Alexander,General Medicine,0558456794,Neurology
Cynthia Mitchell,General Medicine,2787674412,Surgery
Angie Williams,Cardiology,2500674269,General
Daniel Stuart,General Medicine,7537494755,Cardiology
Tammie Mcdowell,Radiology,9255512706,General
Cheyenne Hill,Cardiology,3415204611,General
Bryan Tran,Neurology,6960895502,Surgery
Cynthia Phillips,Neurology,6378967485,Cardiology
Angela Morris,Neurology,4038851601,Cardiology
Elizabeth Andrews,General Medicine,1604427404,Cardiology
Jessica Reyes,General Medicine,1674803667,Cardiology
Darryl Shelton,General Medicine,7220010832,Surgery
Brandon Green DDS,Neurology,1531422986,Neurology
Dennis Clark,Neurology,5831461640,Neurology
Parker Hamilton,Neurology,9814111225,General
Joshua Rodriguez,General Medicine,9575594008,Surgery
John King,Neurology,5916009112,Neurology
Mrs. Ashley Burke,Radiology,7965907663,Neurology
Christopher Willis,Neurology,4537923947,General
Cheryl Hayes,Cardiology,3286002215,Surgery
Ann Gentry,Cardiology,3210944548,Surgery
Emily Simmons,Neurology,7337466234,Surgery
Rodney Peterson,Neurology,7722803709,General
Valerie Becker,Neurology,7244879349,Surgery
Chloe Blackburn,Radiology,7885245159,Cardiology
Robert Jones,Cardiology,2839188041,Neurology
Jesse Newton,Cardiology,7902708581,Cardiology
Tony Bass,Neurology,5552908758,Neurology
Deborah Wood DDS,Radiology,7038012001,General
Kara Kim,Radiology,2097350844,Surgery
David Ayers,General Medicine,1261899176,Surgery
Jason Cooper,Neurology,9636258112,Surgery
Samantha Johnson,Cardiology,8712518650,Cardiology
Jonathan Weaver,Cardiology,7138536743,General
Michael Young,Cardiology,5398125689,Cardiology
Kendra Camacho,General Medicine,5747764803,Surgery
Samantha Newton,Radiology,5603156489,Cardiology
Debbie Wallace,Neurology,8836904727,General
Melinda Austin,Cardiology,2948979789,General
Edward Stevens,Neurology,0114337724,Cardiology
Lauren Miranda,Cardiology,8025590166,Surgery
Ashley Cummings,Neurology,0878802539,Cardiology
Tracy Holmes,Cardiology,7705332980,Surgery
John Kennedy,Radiology,3803582084,General
Beth Elliott,Cardiology,1803193037,Cardiology
James Williams,Neurology,9755242213,Cardiology
Brenda Camacho,General Medicine,9921675360,Cardiology
Nathan Lopez,Cardiology,7252358820,General
Amanda West,Neurology,0916926189,General
Alicia Williams,Radiology,7220799555,General
Darius Garcia,General Medicine,4200329882,Surgery
Holly Johnson,General Medicine,1159940975,Neurology
Michele Black,General Medicine,2550893675,General
Terry Alvarez,General Medicine,1894217298,Neurology
Virginia Wright,Neurology,7187865813,Cardiology
Stephanie Briggs,Neurology,6701059177,Neurology
Elizabeth Burnett,Cardiology,4958001582,General
Brian Ibarra,Radiology,1611502244,Neurology
Deanna Williams,Neurology,6193233838,Neurology
Laura Myers,Neurology,7737567476,Surgery
Timothy Peck,Neurology,8881550160,Surgery
Lisa Duncan,General Medicine,9591832271,Neurology
Victoria Clark,Neurology,1748433398,Cardiology
Julian Palmer,Cardiology,0688022283,Neurology
Ronald Ford,General Medicine,0435157902,Neurology
Kristina Stokes,General Medicine,3964288170,Neurology
Sarah Hampton,Radiology,1621357658,General
Cynthia White,Radiology,9888975388,Cardiology
Jessica Schwartz,Neurology,7185828994,Cardiology
Tammy Mora,General Medicine,7512794229,Surgery
Kelsey Hebert,Neurology,5532269764,Neurology
Cassandra Walker,Neurology,5290157335,Surgery
Lauren Villanueva,General Medicine,8254127086,General
Zachary Palmer,General Medicine,6585065650,Surgery
Mary Carrillo,General Medicine,3020220310,Surgery
Alexander Myers,Cardiology,6269575221,Neurology
Ronald Grant,Radiology,7960303797,Cardiology
Melissa Shepherd,Neurology,0632907410,Neurology
Adrienne Smith,Neurology,3247367634,General
Hannah Martin,Radiology,5881114274,Cardiology
Amy Love,Radiology,3725561162,General
Jonathan Gay,Neurology,1571571925,Surgery
Christopher Bishop,Cardiology,5486312404,Surgery
Lorraine Parker,Radiology,6726188463,Neurology
Joshua Gordon,General Medicine,4278841500,Cardiology
Michelle Walker,General Medicine,0987952230,Neurology
David Williams,General Medicine,8620651068,General
Larry Ross,Neurology,3163481384,Neurology
Michael Young,Cardiology,0543055914,Cardiology
Taylor Jackson,Neurology,5834451222,Cardiology
Robert Chan,Radiology,6791025509,Neurology
Alexandra Perkins,Neurology,0520715222,Surgery
Jennifer Pena,General Medicine,5224298354,Cardiology
Kevin Keller,General Medicine,6548954795,Cardiology
Dustin Nelson,General Medicine,4707553829,Surgery
Jennifer Bryan,Radiology,5750710006,General
Emily Murphy,Cardiology,1909102731,Neurology
Elizabeth Allison,Neurology,1525466337,Cardiology
Martin Gomez,Radiology,6880226690,General
Tiffany Dixon,Radiology,9618113620,Cardiology
Jill White,General Medicine,9446047476,Neurology
Patrick Merritt,Neurology,4192799761,Surgery
Brad Bowman,Neurology,6387391149,Neurology
Harold Baker,Cardiology,3185313387,General
Antonio Jenkins,Radiology,9548303342,General
Jeffrey Farrell DDS,General Medicine,1157771555,Surgery
Michelle Fox,Cardiology,0408058934,Cardiology
Marvin Roberts,Radiology,7546822581,General
David Haley,Neurology,6949842130,Neurology
Kevin Mejia,General Medicine,9268778259,Neurology
Laurie Munoz,Cardiology,5594987853,Surgery
Kelly Weber,General Medicine,2692094016,Cardiology
Diana Hall,Neurology,2836903965,Neurology
Heather Thomas,Cardiology,8968667625,Neurology
Elijah Crawford,Neurology,6168012487,General
Troy Palmer,General Medicine,9055868799,Neurology
Tyler Russo,Neurology,2351032004,Surgery
Christy Meyer,General Medicine,3401254070,Cardiology
Adam Cox,General Medicine,3284676151,General
Felicia Flynn,Cardiology,1760494767,Surgery
Heather Paul,Cardiology,8591362766,General
Luis Gonzalez,Cardiology,3331606893,Surgery
Dennis Tucker,Neurology,3670974874,Surgery
Richard Kennedy,Radiology,4152191787,Surgery
William Flores,Radiology,4174705813,Neurology
Margaret Charles,Cardiology,9589322934,Neurology
Michael Williams,General Medicine,3339753325,Neurology
Heather Hancock,Radiology,4579575242,Neurology
Kara Anderson,General Medicine,9062103367,Surgery
David Hernandez,Neurology,7789351559,Surgery
Kari Perkins,Neurology,5141123438,Cardiology
Anna Mitchell,General Medicine,5856595950,Surgery
Maureen Parker,General Medicine,0069126522,Surgery
Roger Jimenez MD,Neurology,9087789290,Neurology
Gloria Washington,General Medicine,2342939195,Cardiology
Melissa Lozano,General Medicine,4659309319,Cardiology
Wendy Ortiz,Radiology,2586723530,Cardiology
Jeffery Garcia,Cardiology,1610387191,General
Allison Reese,Radiology,4133205505,Neurology
Stephanie Herrera,Radiology,4306141553,Neurology
Theodore Grimes,General Medicine,3680876128,Surgery
Margaret Jordan,Neurology,4888205018,Surgery
Sherry Decker,Radiology,3045079222,Surgery
Marissa Watts,Radiology,9920166401,Cardiology
Heather Hayes,General Medicine,2761865361,Cardiology
Edwin Thompson,General Medicine,7887725365,Cardiology
Cindy Santiago,Neurology,5892663426,Cardiology
Matthew Stone,Neurology,1815057222,General
Dean Dixon,Radiology,2394206020,Surgery
Robert Johnson,Neurology,2038452541,Neurology
Laura Bailey,General Medicine,8992471563,Cardiology
Caitlin Greer,Radiology,6033214532,General
Steven Rodriguez,Radiology,9349248831,Neurology
Jessica Smith,Radiology,6676977058,General
Justin Trevino,Cardiology,4114140195,Cardiology
Linda Perez,General Medicine,9954200362,Neurology
Jeff Sheppard,Radiology,6554740629,Cardiology
Karen Myers,Neurology,5408031932,General
Julie Johnson,General Medicine,4794616015,Neurology
Andrew Perry,Cardiology,7888483364,General
Virginia Williams,General Medicine,4849853731,Surgery
Keith Brooks,Radiology,9270347377,Cardiology
Charles Hayes,Radiology,1538920206,General
Chelsea Stevenson,General Medicine,8917545370,Surgery
John Johnson,Neurology,2057388648,Surgery
Michael Martin,Radiology,2345947018,Neurology
Dennis Ross,Radiology,4860512492,Surgery
Lori Norris,Cardiology,1396384607,Cardiology
Heather Rivera,Neurology,0567468166,Neurology
Susan Frank,General Medicine,7184085266,Surgery
Brittany Jones,Neurology,9006872636,Surgery
Guy Hernandez,General Medicine,0975076762,Cardiology
Benjamin Nelson,Radiology,5112360989,Neurology
Kathleen Simmons,General Medicine,8064979937,Neurology
Kimberly Tran,Neurology,1421708656,Surgery
Tanya Russell,Cardiology,1586717470,General
Sherry Fowler,Neurology,7108211747,Neurology
Michael Lopez,Neurology,1808783351,Cardiology
John White,Cardiology,8059500857,Neurology
Jamie Baker,Radiology,8529941311,General
Alexis Bray,Neurology,6953985829,Cardiology
Jack Terry,Radiology,1639453363,General
Karen Wright,Neurology,2091023005,Surgery
Kim Walter,Neurology,3628000794,Neurology
Cindy Ross,Neurology,9151661425,Surgery
Alexander Martinez,Neurology,9646889700,General
Kimberly Williams,Cardiology,1272391697,Neurology
Michael Rivera,Neurology,8895964475,General
Eddie Parker,Neurology,2936538200,Cardiology
Jonathan Nichols,Neurology,8892716808,General
Michael Haas,General Medicine,1513980123,General
Ashlee Odom,Neurology,2183582048,Neurology
Tamara Cruz,Radiology,2408913463,Cardiology
Jared Armstrong,Cardiology,9278157342,Neurology
Phyllis Small,Radiology,3625986577,Surgery
Katherine Moore,Cardiology,2975646887,Cardiology
Alexander Colon,General Medicine,1517718573,Surgery
Ebony Hunter,Neurology,9053150724,Surgery
Erica Burns,Cardiology,0369355724,General
Kimberly Boone,Cardiology,9955632357,Neurology
Tina Bryant,Cardiology,9003993916,Surgery
Bryan Wilkinson,Neurology,3195437631,Neurology
Heather Frank,General Medicine,9832237957,General
Cassidy Ford,Cardiology,2424270748,Neurology
Parker Jenkins,Radiology,6645318861,Cardiology
Lisa Nelson,Neurology,2982209598,Surgery
Brandon Dillon,Neurology,1268535069,Surgery
Christopher Johns,General Medicine,2230016644,Neurology
Keith Holmes,General Medicine,4253404933,Neurology
Collin Henson,Cardiology,5416762874,Neurology
Tracy Johnson,General Medicine,2936815986,Neurology
Dawn Thomas,Neurology,7440250569,General
Julie Johnson,Cardiology,9915728370,Neurology
Jessica King,Neurology,7764211722,Cardiology
Travis Cooper,Neurology,3089367990,Neurology
Janet Costa,Neurology,6995260003,Cardiology
Lisa Washington,General Medicine,2839335086,Cardiology
Theresa Mendez,Cardiology,8445065548,Neurology
Holly Conner,Neurology,7617449045,Cardiology
Betty Scott,Radiology,0691711188,General
Samuel Ball,Radiology,5884227843,Neurology
Jay Pugh,Cardiology,3344521853,Surgery
Kevin Johnson,Radiology,9772384109,Neurology
Rachael Williams,Radiology,4142580595,Cardiology
Jacob Espinoza,Cardiology,4014233580,Neurology
Dr. April Howard PhD,Neurology,7896156005,General
Brittany Koch,Cardiology,4197529223,General
April Haley,Cardiology,6957056669,General
Jerome Pierce,Cardiology,1504290789,General
Nancy Reynolds,Radiology,8047005197,Cardiology
Dylan James,Cardiology,2705894426,General
Jeffrey Hayes,Neurology,8980095184,Cardiology
Angel White,Neurology,0693258649,Cardiology
Danielle Cole,General Medicine,1844806235,Surgery
Robert Sullivan,Neurology,7875545437,Cardiology
Courtney Merritt,Cardiology,7865805822,Surgery
James Johnson,Neurology,3560628075,Cardiology
Kelsey Mcdaniel,Cardiology,8828693706,Neurology
Antonio Ross Jr.,Neurology,3441276380,Surgery
Shelley Melton,Neurology,6209927741,Neurology
Morgan Garcia,Cardiology,3004686099,General
Mark Lloyd,Radiology,8923318484,Cardiology
Eric Harrison,General Medicine,6843107341,Surgery
Joseph Carroll,General Medicine,1364560250,Neurology
Wesley Martinez,Radiology,6533446917,Surgery
Mr. Daniel Simpson,General Medicine,3928482857,Neurology
Francisco Fields,Neurology,9701104994,General
Alan Kim,Radiology,6752240169,Neurology
William Freeman,Neurology,6928180331,Neurology
Tammy Mitchell,Neurology,9894112349,General
Ryan Carter,Cardiology,6656064356,Neurology
James Williams,Neurology,1345828570,Cardiology
Isaac Patrick,Cardiology,3302809057,Surgery
Krystal Garner,Cardiology,0678330321,General
Nichole Johnson,Radiology,1760567496,Cardiology
Bruce Martinez,Cardiology,9811010378,Surgery
Derrick Bell,Neurology,9682929072,General
Susan Casey,Radiology,3015250868,Cardiology
Alexis Hall,Cardiology,0244764622,Surgery
Steven Alexander,Neurology,7791817798,Surgery
Jonathan Johnson,General Medicine,0257823366,Cardiology
Paul Powell,General Medicine,9547886466,Surgery
Daniel Kerr,Neurology,4687520390,Surgery
Anthony Marquez,Radiology,6091854876,General
Jennifer Clayton,General Medicine,6787800638,Surgery
Gerald White,General Medicine,7036010935,Surgery
Cynthia Smith,Cardiology,2312357729,Cardiology
Kayla Turner,Neurology,4781871138,General
Kim Wright,Radiology,9935364053,Surgery
William Jones,Neurology,5279874870,Neurology
John Mooney,Cardiology,0091932046,Neurology
Brian Salazar,Neurology,3652719229,Surgery
Amy Elliott,Cardiology,6787174892,Neurology
Ronald Allen,Neurology,4351527589,Neurology
Logan Vargas,Radiology,5985766219,General
Mrs. Lisa Adams,General Medicine,0026671115,Surgery
Patrick Clark,General Medicine,7004575212,Surgery
Larry Williams,Neurology,4157135747,Surgery
Denise Smith,Radiology,2953825778,General
Gregory Brooks,Neurology,2595182362,General
Timothy Hernandez,Neurology,6163098773,Cardiology
Eric Baker,Neurology,0852545072,Neurology
Kathryn Bailey,Radiology,8905699460,Neurology
Jordan Miller,General Medicine,0523627898,Surgery
Luke Mayer,Cardiology,1270113327,Cardiology
Sharon Davis,Cardiology,8795295919,Surgery
Christian West,Radiology,8840512405,Cardiology
Nicholas Washington,Neurology,6158380283,Neurology
Jennifer Conrad,Radiology,5793895027,Surgery
Kevin Estrada,General Medicine,6066495583,General
Justin Vaughn,General Medicine,6432782011,Neurology
Kelly Wilson MD,Cardiology,1464579910,Cardiology
Megan Jones,Radiology,4510614988,Neurology
Jennifer Smith,Cardiology,9933679502,Neurology
Alexander Obrien,Radiology,8424499014,Cardiology
Christopher Garrett,Cardiology,5723110950,Cardiology
Meghan Carlson,Neurology,5867287779,Neurology
Travis Jordan,Cardiology,5819734494,Cardiology
Jade Schroeder,Cardiology,8260503676,Cardiology
Savannah Knight,Radiology,8002358872,General
Courtney York,General Medicine,2452913100,General
Lacey Miller,Radiology,8323752346,General
Johnny Elliott,Cardiology,5102983090,General
Emily Nixon,Neurology,8257288966,Neurology
Victoria Johnson,Cardiology,9450281797,Surgery
Corey Jacobs,General Medicine,6050100508,General
Jennifer Flores,General Medicine,3037935857,Surgery
Heather Strickland,Radiology,8130925151,General
Bruce Navarro,Neurology,5931658133,Neurology
Scott Robinson,Neurology,6797506021,Cardiology
Maria Grant,General Medicine,8984055681,Neurology
Brian Nguyen,Radiology,7564057483,Surgery
Erika Potts,Cardiology,7468980603,Neurology
Kelly Fowler,Neurology,7987812252,Surgery
Brooke Stewart,Radiology,9582461086,Surgery
Todd Richards,Radiology,5668887536,Surgery
William Jackson,General Medicine,6568220825,Surgery
Dale Phillips,Cardiology,4119231764,Neurology
Dana Ferrell,General Medicine,1147680775,Surgery
Meagan Deleon,Neurology,2158738093,General
Samantha Zamora,Neurology,8946645460,Surgery
Kayla Mack,Cardiology,4123220791,Neurology
Mr. Corey Baker DDS,Neurology,2527172322,Cardiology
Mary Vance,Neurology,8805701004,General
Matthew Sanders,Radiology,9722609885,Surgery
April Robertson,General Medicine,4629546079,Cardiology
Jack Munoz,Radiology,7181363930,Surgery
Sarah Mendoza,Cardiology,0353164149,Surgery
Heather Diaz,General Medicine,4008219257,Surgery
Mr. Paul Rodriguez,Cardiology,0061976823,General
Evan Farmer,Cardiology,1698283860,Neurology
Kellie Cole,Cardiology,7134248656,Surgery
Robert Hart,Cardiology,7708948705,General
Jordan Barry,General Medicine,7985365498,Surgery
Sarah Mueller,Cardiology,3176839559,Neurology
Erin Miller,Radiology,4154458954,Neurology
Jeremy Mitchell,Radiology,6395270081,Cardiology
William Turner,Radiology,0935389002,General
Sheila Rodriguez,Radiology,5592842145,Cardiology
Lauren Lee,Neurology,5808284708,Surgery
Brenda Williams,Neurology,5017440579,Surgery
Lisa Thomas,Neurology,0717120485,Cardiology
Nancy Tran,Cardiology,3610852738,Neurology
Troy Meza,Cardiology,0280223099,Cardiology
Elizabeth Thornton,Neurology,6969128445,General
Jonathan Collins,Neurology,8186153786,General
Diana Harris,General Medicine,9117612660,Cardiology
Jesus Patel,Cardiology,0416225241,Surgery
Lindsay Cross,Cardiology,4993923015,General
Jackie Hernandez,Cardiology,3245480474,Cardiology
Anthony Knight,General Medicine,3817812187,Neurology
Joshua Wiley,Neurology,8452250233,Neurology
Kelsey Harper,Neurology,2623639265,Neurology
Michael Finley,Cardiology,6944101808,General
Dr. Richard Green II,Radiology,5974440487,Surgery
Julie Adams,General Medicine,7813487677,General
Mark Johnson,Radiology,0979795928,General
Katrina Adkins,Radiology,7448690408,Neurology
Alexander Bullock,General Medicine,1758300022,Surgery
Charles Smith,Neurology,9665960884,Surgery
Samantha Zimmerman,Cardiology,6018199223,Cardiology
Richard Underwood,Neurology,5903192169,General
Angela Gardner,General Medicine,0827389363,Neurology
Laura Reed,Radiology,0297050358,Cardiology
Zachary Smith,Radiology,7928820245,General
Michelle Atkinson,Neurology,3646387488,Neurology
Shelia Jimenez,General Medicine,2442133397,Neurology
Deanna Barnett,Neurology,3462548626,Surgery
Anthony Lopez,Cardiology,8317248256,Surgery
Robert Taylor,Neurology,2384747863,Neurology
Lisa Wagner,Radiology,9609190949,Surgery
Jack Roberts,Cardiology,3200820964,Cardiology
Kaylee Foley,Neurology,4329141038,Neurology
Stacey Johnson,Radiology,6168785025,Surgery
Michael Hill,Neurology,8797781343,General
Casey West,Neurology,6684094985,Cardiology
Robert Hughes,General Medicine,6222232974,Cardiology
John Gray,Cardiology,4655075447,Cardiology
Stephanie Dunlap,General Medicine,9577917150,Surgery
Brittney Williams,General Medicine,9452429107,Surgery
